INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,ZIP_CODE,CENSUS_TRACT,BIN,NTA,LOCATION
42-02 QUEENS BOULEVARD,QUEENS,02 QUEENS,Precinct 108,26,4001690022,3/2/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1005792,210187,40.743565,-73.922259,11104,18102,4540182,Hunters Point-Sunnyside-West Maspeth,"(40.743565, -73.922259)"
105-25 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,32,,3/1/2018,Open,Property Research Required,,1028717,190984,40.690772,-73.839654,11418,12602,,Richmond Hill,"(40.690772, -73.839654)"
41-31 23 STREET,QUEENS,01 QUEENS,Precinct 114,26,4004130010,3/1/2018,Open,Site to be cleaned.,,1000579,213451,40.752535,-73.941064,11101,33,4004982,Queensbridge-Ravenswood-Long Island City,"(40.752535, -73.941064)"
162 SCHOFIELD STREET,BRONX,10 BRONX,Precinct 45,13,2056410296,2/28/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1043795,247320,40.845311,-73.784785,10464,516,2082448,Pelham Bay-Country Club-City Island,"(40.845311, -73.784785)"
118-01 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 113,28,4122050006,2/21/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1041988,186972,40.679684,-73.791834,11434,288,4264968,Baisley Park,"(40.679684, -73.791834)"
15 FEATHERBED LANE,BRONX,05 BRONX,Precinct 46,14,2028610005,2/20/2018,Open,Site downloaded for cleaning,,1007890,247393,40.84568,-73.914557,10452,217,2008341,University Heights-Morris Heights,"(40.84568, -73.914557)"
1452 EAST    5 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065670035,2/19/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,992517,163496,40.615432,-73.970223,11230,444,3172838,Ocean Parkway South,"(40.615432, -73.970223)"
AMSTERDAM AVENUE AND EWST 179 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,2/14/2018,Open,Property Research Required,,,,,,,,,,
1007 ATLANTIC AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,36,3020190055,2/14/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,995586,187026,40.680013,-73.95913,11238,227,3057842,Clinton Hill,"(40.680013, -73.95913)"
41-27 23 STREET,QUEENS,01 QUEENS,Precinct 114,26,4004130012,2/5/2018,Open,Site to be cleaned.,,1000589,213465,40.752574,-73.941028,11101,33,4004983,Queensbridge-Ravenswood-Long Island City,"(40.752574, -73.941028)"
2261 BROADWAY,MANHATTAN,07 MANHATTAN,Precinct 20,6,1012290008,2/5/2018,Open,Site downloaded for cleaning,,990082,225367,40.785255,-73.97894,10024,167,1032679,Upper West Side,"(40.785255, -73.97894)"
352 EAST   51 STREET,BROOKLYN,17 BROOKLYN,Precinct 67,41,,2/2/2018,Open,Property Research Required,,1003804,177235,40.653125,-73.929529,11203,868,,Rugby-Remsen Village,"(40.653125, -73.929529)"
709 FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050480003,2/2/2018,Open,Site downloaded for cleaning,,995375,178222,40.655848,-73.959905,11225,79601,3115792,Prospect Lefferts Gardens-Wingate,"(40.655848, -73.959905)"
1012 CORTELYOU ROAD,BROOKLYN,14 BROOKLYN,Precinct 70,40,3051530004,2/2/2018,Open,Site to be cleaned.,,992971,172207,40.639341,-73.968577,11218,526,3118563,Flatbush,"(40.639341, -73.968577)"
308 LEFFERTS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3013290039,2/2/2018,Open,Site to be cleaned.,,997724,180576,40.662306,-73.951434,11225,800,3035360,Prospect Lefferts Gardens-Wingate,"(40.662306, -73.951434)"
794 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050630058,2/2/2018,Open,Site downloaded for cleaning,,995505,177343,40.653435,-73.959438,11226,50803,3397264,Flatbush,"(40.653435, -73.959438)"
WEST 133 STREET AND LENOX AVE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,1/31/2018,Open,Property Research Required,,,,,,,,,,
441 WEST   56 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,3,1010660010,1/31/2018,Open,Site to be cleaned.,,987730,218997,40.767772,-73.987437,10019,139,1026862,Clinton,"(40.767772, -73.987437)"
106-54 GUY BREWER BOULEVARD,QUEENS,12 QUEENS,Precinct 103,28,4101290034,1/31/2018,Open,Site to be cleaned.,,1041659,193970,40.698894,-73.79296,11433,254,4215816,South Jamaica,"(40.698894, -73.79296)"
297 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024600027,1/31/2018,Open,Site downloaded for cleaning,,995866,197407,40.708506,-73.958102,11211,525,3335972,North Side-South Side,"(40.708506, -73.958102)"
1110 BEDFORD AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3019710032,1/30/2018,Open,Site downloaded for cleaning,,996842,189481,40.68675,-73.954597,11216,229,3056467,Clinton Hill,"(40.68675, -73.954597)"
1207 WHITLOCK AVENUE,BRONX,02 BRONX,Precinct 41,17,,1/27/2018,Open,Property Research Required,,1015746,240628,40.828142,-73.886037,10459,12101,,Morrisania-Melrose,"(40.828142, -73.886037)"
8403 FIFTH AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060270008,1/27/2018,Open,Site to be cleaned.,,977202,166158,40.622739,-74.025389,11209,142,3152853,Bay Ridge,"(40.622739, -74.025389)"
274 ALBANY AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3012510039,1/25/2018,Open,Site to be cleaned.,,1001101,183827,40.671224,-73.939254,11213,339,3032079,Crown Heights North,"(40.671224, -73.939254)"
317 ALBANY AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3013880005,1/25/2018,Open,Site downloaded for cleaning,,1001068,183264,40.669678,-73.939374,11213,337,3037244,Crown Heights North,"(40.669678, -73.939374)"
3511 14 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053500015,1/24/2018,Open,Site to be cleaned.,,989280,172959,40.641408,-73.981875,11218,228,3125063,Borough Park,"(40.641408, -73.981875)"
267 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3023537501,1/23/2018,Open,Site downloaded for cleaning,,995776,199675,40.714731,-73.958423,11211,519,3062373,North Side-South Side,"(40.714731, -73.958423)"
872 NOSTRAND AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,35,3012750051,1/22/2018,Open,Site downloaded for cleaning,,997938,182761,40.668303,-73.950658,11225,321,3033216,Crown Heights South,"(40.668303, -73.950658)"
62 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,1004167502,1/21/2018,Open,Site downloaded for cleaning,,986967,201825,40.72064,-73.990198,10002,3601,1087123,Chinatown,"(40.72064, -73.990198)"
154 EAST  170 STREET,BRONX,04 BRONX,Precinct 44,16,2028420059,1/19/2018,Open,Site downloaded for cleaning,,1007881,244970,40.83903,-73.914598,10452,22102,2008087,West Concourse,"(40.83903, -73.914598)"
703 EAST  223 STREET,BRONX,12 BRONX,Precinct 47,12,2048370041,1/18/2018,Open,Site downloaded for cleaning,,1022650,262235,40.886365,-73.861124,10466,396,2063369,Williamsbridge-Olinville,"(40.886365, -73.861124)"
25-40 38 STREET,QUEENS,01 QUEENS,Precinct 114,22,4006537504,1/18/2018,Open,Site downloaded for cleaning,,1008370,219024,40.767814,-73.912924,11103,6502,4010205,Astoria,"(40.767814, -73.912924)"
2536 MARION AVENUE,BRONX,07 BRONX,Precinct 52,15,2032750001,1/18/2018,Open,Site downloaded for cleaning,,1013935,253382,40.8621,-73.892682,10458,39901,2016303,Bedford Park-Fordham North,"(40.8621, -73.892682)"
504 CLINTON STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39,3003700029,1/17/2018,Open,Site downloaded for cleaning,,984307,186651,40.678991,-73.999794,11231,65,3005354,Carroll Gardens-Columbia Street-Red Hook,"(40.678991, -73.999794)"
89-16 ROOSEVELT AVENUE,QUEENS,04 QUEENS,Precinct 110,21,4015107502,1/17/2018,Open,Site downloaded for cleaning,,1018239,211933,40.748319,-73.877331,11372,271,4436543,Elmhurst,"(40.748319, -73.877331)"
6202 3 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3057980041,1/17/2018,Open,Site downloaded for cleaning,,978170,172805,40.640985,-74.021908,11220,22,3143912,Sunset Park West,"(40.640985, -74.021908)"
2351 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3068580057,1/12/2018,Open,Site downloaded for cleaning,,986920,157820,40.599856,-73.990385,11214,298,3185337,Bensonhurst East,"(40.599856, -73.990385)"
1527 62 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,44,3055230016,1/12/2018,Open,Site downloaded for cleaning,,985753,166837,40.624606,-73.994586,11219,250,3328527,Bensonhurst West,"(40.624606, -73.994586)"
30 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1002987504,1/9/2018,Open,Site downloaded for cleaning,,986607,200004,40.715641,-73.991498,10002,16,1003845,Chinatown,"(40.715641, -73.991498)"
301 C AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053550052,1/9/2018,Open,Site downloaded for cleaning,,990708,172658,,,,,,,
213 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 7,1,1002850019,1/9/2018,Open,Site downloaded for cleaning,,987715,199507,40.714269,-73.987588,10002,6,1003698,Lower East Side,"(40.714269, -73.987588)"
18 WEST BURNSIDE AVENUE,BRONX,05 BRONX,Precinct 46,14,2028630030,1/8/2018,Open,Site downloaded for cleaning,,1009673,250356,40.853808,-73.908101,10453,243,2008400,University Heights-Morris Heights,"(40.853808, -73.908101)"
34 CROOKE AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050607502,3/13/2018,Open,Graffiti Reported,,994171,176865,40.652125,-73.964246,11226,50804,3394295,Flatbush,"(40.652125, -73.964246)"
147-14 NORTHERN BOULEVARD,QUEENS,07 QUEENS,Precinct 109,20,4050160027,3/12/2018,Open,Site to be cleaned.,,1034361,218099,40.765166,-73.8191,11354,1163,4113528,Murray Hill,"(40.765166, -73.8191)"
307 72 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,3058917502,3/10/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,976847,170064,40.63346,-74.026672,11209,68,3146517,Bay Ridge,"(40.63346, -74.026672)"
587 LINCOLN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,3042380001,3/7/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1021071,185531,40.67584,-73.867255,11208,1200,3095208,East New York,"(40.67584, -73.867255)"
103 ALLEN STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,1004140019,3/4/2018,Open,Site to be cleaned.,,986860,201160,40.718814,-73.990585,10002,18,1005458,Chinatown,"(40.718814, -73.990585)"
39-05 CRESCENT STREET,QUEENS,01 QUEENS,Precinct 114,26,4003960018,3/3/2018,Open,Site to be cleaned.,,1001711,214175,40.75452,-73.936976,11101,33,4004788,Queensbridge-Ravenswood-Long Island City,"(40.75452, -73.936976)"
301 EAST   61 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,1014367504,2/23/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,994424,216824,40.761803,-73.963274,10065,110,1044224,Lenox Hill-Roosevelt Island,"(40.761803, -73.963274)"
30 WEST   44 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,4,1012590054,2/20/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,989490,214437,40.755255,-73.981087,10036,96,1034215,Midtown-Midtown South,"(40.755255, -73.981087)"
225 WEST   35 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,3,1007850025,2/19/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,986732,213269,40.752051,-73.991042,10001,109,1014427,Midtown-Midtown South,"(40.752051, -73.991042)"
1750 MC DONALD AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,44,3066070026,2/19/2018,Open,Site downloaded for cleaning,,991670,161597,40.61022,-73.973276,11230,438,3174686,Ocean Parkway South,"(40.61022, -73.973276)"
206 WEST  120 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,1019250040,2/17/2018,Open,Site downloaded for cleaning,,997759,232930,40.806005,-73.951203,10027,220,1058451,Central Harlem South,"(40.806005, -73.951203)"
1560 BRUCKNER BOULEVARD,BRONX,09 BRONX,Precinct 43,18,2036530001,2/8/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1018578,239392,40.823685,-73.875968,10473,28,2120958,Soundview-Castle Hill-Clason Point-Harding Park,"(40.823685, -73.875968)"
6811 20 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47,3055790006,2/5/2018,Open,Site to be cleaned.,,987645,163218,40.614672,-73.987772,11204,258,3135070,Bensonhurst West,"(40.614672, -73.987772)"
WEST 129 STREET AND 7 AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,2/2/2018,Open,Property Research Required,,,,,,,,,,
126-24 FARMERS BOULEVARD,QUEENS,12 QUEENS,Precinct 113,27,4124920001,2/1/2018,Open,Site to be cleaned.,,1050530,187685,40.681581,-73.76103,11434,366,4270027,St. Albans,"(40.681581, -73.76103)"
92 92 ave,QUEENS,01 QUEENS,Unspecified,,,1/31/2018,Open,Property Research Required,,,,,,,,,,
455 EAST  187 STREET,BRONX,06 BRONX,Precinct 48,15,2030410032,1/31/2018,Open,Site to be cleaned.,,1014082,251893,40.858013,-73.892157,10458,385,2011416,Claremont-Bathgate,"(40.858013, -73.892157)"
1557 new utrecht ave,BROOKLYN,01 BROOKLYN,Unspecified,,,1/30/2018,Open,Property Research Required,,,,,,,,,,
1185 ROGERS AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,45,3051930048,1/30/2018,Open,Site to be cleaned.,,997725,172896,40.641226,-73.951446,11226,828,3327312,Erasmus,"(40.641226, -73.951446)"
1165 GERARD AVENUE,BRONX,04 BRONX,Precinct 44,16,2024880041,1/29/2018,Open,Site to be cleaned.,,1006159,243329,40.83453,-73.920826,10452,197,2003003,West Concourse,"(40.83453, -73.920826)"
457 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050700031,1/29/2018,Open,Site to be cleaned.,,992315,174902,40.646739,-73.970937,11218,506,3116301,Flatbush,"(40.646739, -73.970937)"
30-95 32 STREET,QUEENS,01 QUEENS,Precinct 114,22,4006160080,1/29/2018,Open,Site to be cleaned.,,1005778,217785,40.76442,-73.922285,11102,63,4008588,Astoria,"(40.76442, -73.922285)"
334 EAST FORDHAM ROAD,BRONX,05 BRONX,Precinct 46,15,2030230037,1/29/2018,Open,Site downloaded for cleaning,,1013741,253307,40.861895,-73.893383,10458,39902,2011009,Bedford Park-Fordham North,"(40.861895, -73.893383)"
372 THROOP AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3017860035,1/26/2018,Open,Site downloaded for cleaning,,1000157,191198,40.691457,-73.94264,11221,261,3049832,Bedford,"(40.691457, -73.94264)"
73-20 FOREST AVENUE,QUEENS,05 QUEENS,Precinct 104,34,4035770040,1/24/2018,Open,Site downloaded for cleaning,,1012369,194150,40.699529,-73.898591,11385,557,4086368,Ridgewood,"(40.699529, -73.898591)"
122-21 MERRICK BOULEVARD,QUEENS,12 QUEENS,Precinct 113,27,4124800032,1/23/2018,Open,Site downloaded for cleaning,,1048207,188414,40.683599,-73.769399,11434,368,4269742,St. Albans,"(40.683599, -73.769399)"
389 COLUMBIA STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3005200001,1/23/2018,Open,Site to be cleaned.,,982661,186550,40.678714,-74.005729,11231,59,3008322,Carroll Gardens-Columbia Street-Red Hook,"(40.678714, -74.005729)"
383 SMITH STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39,3004600063,1/22/2018,Open,Site downloaded for cleaning,,985425,186605,40.678865,-73.995764,11231,77,3007866,Carroll Gardens-Columbia Street-Red Hook,"(40.678865, -73.995764)"
149 GRAND STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3023800033,1/21/2018,Open,Site downloaded for cleaning,,994777,199704,40.714812,-73.962026,11249,553,3062626,North Side-South Side,"(40.714812, -73.962026)"
4204 3 avenue,BROOKLYN,01 BROOKLYN,Unspecified,,,1/19/2018,Open,Property Research Required,,,,40.65207,-74.01004,11232,2,,Sunset Park West,"(40.65207, -74.01004)"
2500 ARTHUR AVENUE,BRONX,06 BRONX,Precinct 48,15,2030780010,1/19/2018,Open,Site downloaded for cleaning,,1015976,251962,40.858196,-73.88531,10458,389,2012260,Belmont,"(40.858196, -73.88531)"
170 9 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010080128,1/17/2018,Open,Site downloaded for cleaning,,986493,184061,40.671882,-73.991914,11215,121,3347762,Park Slope-Gowanus,"(40.671882, -73.991914)"
4320 PARK AVENUE,BRONX,06 BRONX,Precinct 48,15,2030360004,1/16/2018,Open,Site downloaded for cleaning,,1012553,249169,40.850541,-73.897696,10457,395,2011270,Claremont-Bathgate,"(40.850541, -73.897696)"
2268 65 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065790010,1/12/2018,Open,Site downloaded for cleaning,,989773,162621,40.613032,-73.980108,11204,432,3173369,Bensonhurst East,"(40.613032, -73.980108)"
627 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,3,1010540130,1/11/2018,Open,Site downloaded for cleaning,,986592,216142,40.759936,-73.991546,10036,121,1026435,Clinton,"(40.759936, -73.991546)"
100 HESTER STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,1003010003,1/11/2018,Open,Site downloaded for cleaning,,986165,200336,40.716553,-73.993092,10002,16,1082489,Chinatown,"(40.716553, -73.993092)"
22 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 5,1,1002810009,1/9/2018,Open,Site downloaded for cleaning,,985193,199236,40.713534,-73.996598,10002,8,1003485,Chinatown,"(40.713534, -73.996598)"
233 EAST    4 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2,1004000042,1/8/2018,Open,Site downloaded for cleaning,,989010,202838,40.723436,-73.982867,10009,32,1077640,East Village,"(40.723436, -73.982867)"
30-50 42 STREET,QUEENS,01 QUEENS,Precinct 114,22,4006830078,3/12/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1007977,216900,40.761985,-73.91435,11103,149,4011358,Astoria,"(40.761985, -73.91435)"
97A COOPER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3034330038,3/6/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1009499,189274,40.686154,-73.90896,11207,403,3079675,Bushwick South,"(40.686154, -73.90896)"
987 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007050001,2/27/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,982630,177157,40.652932,-74.005838,11232,84,3010436,Sunset Park West,"(40.652932, -74.005838)"
162 23 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4008640034,2/25/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1007373,222343,40.776927,-73.916512,11105,97,4018711,Steinway,"(40.776927, -73.916512)"
1510 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018640009,2/21/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1000733,186986,40.679895,-73.940573,11216,271,3053842,Crown Heights North,"(40.679895, -73.940573)"
68 LEXINGTON AVENUE,MANHATTAN,05 MANHATTAN,Precinct 13,2,1008810006,2/15/2018,Open,Site downloaded for cleaning,,988791,209273,40.741082,-73.983613,10010,68,1018103,Gramercy,"(40.741082, -73.983613)"
E 168/SHERMAN,BRONX,01 BRONX,Unspecified,,,2/13/2018,Open,Property Research Required,,,,,,,,,,
2331 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,18,2039690001,2/13/2018,Open,Site downloaded for cleaning,,1026413,243896,40.836013,-73.84763,10462,20601,2041563,Westchester-Unionport,"(40.836013, -73.84763)"
11-53 44 DRIVE,QUEENS,02 QUEENS,Precinct 108,26,4004470003,2/9/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,998305,211973,,,,,,,
175 IRVING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032590006,2/9/2018,Open,Site downloaded for cleaning,,1006486,195086,40.702115,-73.919804,11237,443,3074224,Bushwick North,"(40.702115, -73.919804)"
961 LEGGETT AVENUE,BRONX,02 BRONX,Precinct 41,17,2027080016,2/3/2018,Open,Site downloaded for cleaning,,1011871,236328,40.815299,-73.900214,10455,85,2005556,Longwood,"(40.815299, -73.900214)"
135 WEST  132 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,9,1019170016,2/2/2018,Open,Site downloaded for cleaning,,999926,235362,40.812676,-73.94337,10027,226,1058151,Central Harlem North-Polo Grounds,"(40.812676, -73.94337)"
845 UTICA AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,41,3046760052,2/2/2018,Open,Site to be cleaned.,,1003546,177032,40.652568,-73.930459,11203,868,3102140,Rugby-Remsen Village,"(40.652568, -73.930459)"
519 UTICA AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,41,3045910044,2/2/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1003298,180049,40.660849,-73.931345,11203,880,3099214,Prospect Lefferts Gardens-Wingate,"(40.660849, -73.931345)"
1558 DE KALB AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032480010,2/1/2018,Open,Site downloaded for cleaning,,1006326,195455,40.703128,-73.92038,11237,445,3073907,Bushwick North,"(40.703128, -73.92038)"
646 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,33,3022700012,1/31/2018,Open,Site downloaded for cleaning,,999454,195255,40.702594,-73.945165,11206,507,3061457,Bedford,"(40.702594, -73.945165)"
270 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,33,3021410005,1/31/2018,Open,Site to be cleaned.,,995645,197503,40.70877,-73.958899,11211,525,3059651,North Side-South Side,"(40.70877, -73.958899)"
6216 18 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,38,3055320044,1/31/2018,Open,Site to be cleaned.,,987421,165424,40.620727,-73.988578,11204,248,3132766,Bensonhurst West,"(40.620727, -73.988578)"
newkirk avenue,BROOKLYN,01 BROOKLYN,Unspecified,,,1/30/2018,Open,Property Research Required,,,,,,,,,,
6202 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,38,3057340012,1/30/2018,Open,Site downloaded for cleaning,,985063,167314,40.625915,-73.997071,11219,192,3141667,Borough Park,"(40.625915, -73.997071)"
601 UNION STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39,3004340001,1/28/2018,Open,Site downloaded for cleaning,,988389,186369,40.678216,-73.985078,11215,119,3007206,Park Slope-Gowanus,"(40.678216, -73.985078)"
1019 WHITLOCK AVENUE,BRONX,02 BRONX,Precinct 41,17,,1/27/2018,Open,Property Research Required,,1015561,239463,40.823973,-73.886908,10459,119,,Hunts Point,"(40.823973, -73.886908)"
472 THIRD AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010080001,1/27/2018,Open,Site downloaded for cleaning,,986653,183775,40.671097,-73.991337,11215,121,3022204,Park Slope-Gowanus,"(40.671097, -73.991337)"
63-15 TRIMBLE ROAD,QUEENS,02 QUEENS,Precinct 108,26,4012950047,1/25/2018,Open,Site downloaded for cleaning,,1011597,210637,40.744785,-73.901308,11377,261,4030080,Woodside,"(40.744785, -73.901308)"
